요즘 부동산 가격이 너무 올라서 걱정이에요.,1
네 부동산이 개판이라 쳐다 보기도 싫네요,2
집에 가족들이랑 같이 사세요 아니면 혼자 사세요?,2
얼마 전까지 혼자 나와서 자취하다 다시 부모님이랑 같이 살고 있습니다.,1
다시 본가로 들어오니 장단점이 있는 거 같아요.,1
형은 혼자 살아요?,1
네 저는 혼자 살아요,2
혼자 자취한 지도 오래된 거 같아요,2
혼자 살 때랑 가족들이랑 살 때랑 무슨 점이 제일 좋나요?,2
음... 일단 제일 큰 장점은 집안일을 제가 하지 않아도 된다는 점인 거 같아요.,1
자취하면서 제일 힘든 점이 어떤 거예요?,1
자취하면서 힘든 점은 음 이제 힘든 점은 딱히 없는 거 같고요,2
돈이 나간다는 게 제일 힘든 거 같네요,2
또 나가서 사실 계획은 없으신가요?,2
그렇죠. 아무래도 자취를 하면 고정 지출이 어쩔 수 없이 생겨서 힘든 거 같아요.,1
저는 당분간은 계획이 없고 나중에 자리 좀 잡으면 다시 독립할 거 같아요.,1
그럼 자취하시면서 좋은 점은 어떤 건가요?,1
자취하면서 좋은 점은 아무래도 눈치 안 보고 하고 싶은 거 할 수 있고 친구들도 눈치 안 보고 올 수 있고 그런 게 좋은 거 같아요,2
자취하실 때 위치가 어디였나요?,2
저는 여러 지역에서 자취를 했어요.,1
생각해 보니 저도 자취 경력이 좀 오래됐네요.,1
그럼 식사는 직접 요리해서 드시나요?,1
아 보통 요리는 한 번씩 하고 거의 밖에서 사 먹는 거 같아요,2
요리하는 거는 좋은데 정리할 때가 너무 귀찮아서... 혹시 방을 볼 때 가장 중요하게 생각하는 게 있나요 뷰나 크기나 화장실 등등,2
저는 방을 볼 때 특별한 기준점이 없는 거 같아요.,1
딱 봤을 때 깔끔하다는 느낌이 들면 되는 거 같네요!,1
저는 인테리어 하는 걸 좋아하는데 혹시 인테리어에 관심이 있으세요?,1
인테리어에 딱히 관심은 많이 없는 거 같긴 한데 보고 있으면 좋아해요,2
혹시 셀프 인테리어 집에서 해보신 거 있으신가요?,2
저는 자취할 때마다 새로 인테리어를 했어요.,1
나중에 결혼하면 아파트나 주택 중 어디서 살고 싶으세요?,1
저는 아파트에서 살고 싶어요,2
저는 깔끔하고 벌레 없는 곳에 살고 싶어서,2
그리고 높은 층에서 밖을 보는 거를 좋아해서 이왕이면 아파트에서 살고 싶네요,2
어디 살고 싶으세요?,2
저도 벌레가 없는 곳을 생각하면 아파트가 정답이긴 한데 마당이 있는 주택에서 살고 싶기도 해요...,1
선호하시는 지역은 따로 없으세요?,1
저는 부산이나 서울에서 살고 싶어요,2
부산에는 친구들이 많이 있고 서울에는 갈 곳이 많아서 고민이 되네요 하하,2
오늘 오실 때 어떻게 오셨어요?,1
저는 지하철 타고 왔어요,2
뭐 타고 오셨어요,2
오실 때 사람은 많나요?,2
요즘 휴가철인데도 사람이 너무 많네요.,1
올 때마다 너무 더워서 힘들어요,2
차 좋아하세요?,2
차 좋아하죠!,1
차 바꿀 때가 돼서 보고 있는데 요즘 디자인들이 너무 다 이쁘네요.,1
세단을 좋아하세요 에스유브이를 좋아하세요?,2
저는 개인적으로 세단을 좋아해요!,1
혹시 어떤 종류 좋아하세요?,1
저도 세단을 좋아하는데 요즘에 차박 이런 게 잘 돼 있어서 에스유브이도 눈이 가네요,2
바꾸시면 뭐로 바꾸실 거예요?,2
음... 이번에 비엠더블유 보고 있는데 너무 현실적이지가 않아서 보고만 있습니다.,1
차박 같은 거 좋아하세요?,1
네 차에서 자는 거를 좋아해서요,2
캠핑카 이런 것도 사고 싶지만 아직은 안 되겠네요,2
차박 좋아하세요?,2
차박 한번 해보고 싶긴 한데 기회가 없네요.,1
아 그런데 출근하실 때 혹시 거리가 얼마나 되나요?,2
왕복 3시간 정도 걸리는 거 같아요.,1
출퇴근 시 얼마나 걸리세요?,1
저는 뛰어 가면 왕복 한 시간 정도인 거 같고 천천히 걸으면 한 시간 반 정도 걸리는 거 같아요,2
집에 가실 때는 뭐 타고 가세요?,2
지하철 타고 가다가 버스로 환승합니다.,1
혹시 어떻게 가세요?,1
저는 똑같이 지하철 타고 가는데 갈 때는 여자 친구 만나서 가서 버스 타고 갈 거 같아요.,2
아르바이트 많이 해보셨나요?,1
네 아르바이트 아르바이트로 할 수 있는 거는 거의 다 해본 거 같아요,2
많이 해보셨나요?,2
저는 생각보다 이렇게 많이 해본 거 같지는 않아요.,1
기억에 남는 아르바이트가 있나요?,1
처음에 배달했을 때가 기억에 남아요,2
그때는 어려서 오토바이 타는 게 재밌어서 즐겁게 일했던 기억이 있네요,2
무슨 아르바이트 해보셨어요?,2
저는 영화관에서 아르바이트할 때가 기억이 남네요.,1
그때 연예인들을 많이 봤거든요.,1
영화관에서 아르바이트를 하면 힘든 점은 없나요?,2
하루 종일 서 있어야 해서 다리가 너무 아파서 힘들었어요.,1
첫 월급 받았을 때 기분이 어떠셨어요?,1
월급 받았을 때 너무 기분이 좋았어요,2
첫 월급 받으셨을 때 뭐 사셨나요?,2
첫 월급 받고 오토바이를 샀는데 기분이 너무 좋았어요.,1
오 저는 아르바이트를 중학교 때 했는데 그때는 시급이 이천 원이어서 하루 다섯 시간하고 하루에 만 원정도 받았던 거 같아요,2
그걸로 신발을 샀어요,2
맞아요 그때는 진짜 지급이 너무 낮았어요.,1
요즘은 시급이 많이 올랐다고 하네요.,1
네 시급이 너무 낮아서 어떻게 일을 했는지 모르겠네요,2
요즘 일하시는 거는 힘들지 않아요?,2
저는 원하던 일이라 재미있게 일하고 있어서 좋네요.,1
요즘 일하시는 거 어떠세요?,1
저도 원하는 일이라 재밌어요,2
날씨가 더워서 조금 더운 거만 빼고는,2
일할 때 시간은 잘 가나요?,2
하루가 너무 빨리 가는 거 같아요.,1
요즘 일할 때 너무 덥지 않아요?,1
네 출근할 때랑 밥 먹고 오면은 너무 더운 거 같아요,2
에어컨 좀 빵빵하게 틀어주세요 부탁드려요!,2
어디 지역에서 군 생활하셨나요?,1
저는 강원도 화천에서 군 생활을 했습니다,2
어디 지역에서 군 생활을 하셨나요?,2
오 저는 강원도 인제에서 했습니다.,1
강원도 너무 춥지 않았나요?,1
네 많이 추웠어요,2
여름에는 너무 뜨겁고 군대에서 추억이 있나요?,2
음... 훈련했던 게 기억에 많이 남네요.,1
기억에 남는 추억이 있으세요?,1
추억보다는 군대에서 힘든 기억이 많은 거 같네요,2
훈련이 너무 힘들었어요,2
육군이셨나요?,2
네네 저는 케이 나인 자주포 조종수였습니다.,1
보직이 어떤 거였나요?,1
저랑 같은 포병이시네요,2
케이 나인 부럽네요,2
저는 케이에이치 일칠구라고 똥포로 포병이었어요,2
병사로 복무하셨나요?,2
네 병사였는데 운이 좋게 꿀 보직을 맡았네요.,1
덕분에 훈련할 때 편하게 했습니다.,1
저는 견인포라 포 들고 삽질하고 땅 파고 너무 힘들었네요,2
전역할 때 기분이 어떠셨어요?,2
아 저희 부대로 와서 훈련하시는 거 본 거 같아요.,1
전역하기 전에는 마냥 기분 좋을 줄만 알았는데 감정이 좀 복잡해지더라고요.,1
기분이 어떠셨어요?,1
저는 너무 좋았어요 거기서 탈출하는 기분이 다시 입대하라면 하실 수 있나요?,2
오!  한 10억 정도 준다고 하면 갈 수 있겠네요.,1
만약 2억을 준다고 하면 재 입대 가능하세요?,1
네 저는 무조건 합니다 크크,2
혹시 군 생활 중에 기억에 남는 음식이 있나요?,2
음 군대리아가 가장 기억이 남고 지금도 다시 먹어보고 싶네.,1
기억에 남는 음식이 있으세요?,1
저는 그 탄약고에서 먹는 라면이 너무 맛있었어요,2
갑자기 라면이 땡기네요.,2
학창 시절에 공부를 좋아하셨나요?,1
초등학교까지만 좋아했던 거 같아요,2
그때는 공부가 재밌었어요,2
공부 좀 잘하셨나요?,2
저는 중학교 2학년 때까지 열심히 하다가 친구를 잘못 만나서 공부와 벽을 쌓았어요.,1
저랑 비슷하네요 크크,2
저도 그런 거 같아요,2
학원 같은 곳은 다니셨나요?,2
학원비 받아서 열심히 놀러 다녔죠 크크,1
이번 자격증 시험 공부는 잘 돼가세요?,1
이번에 자격증 공부를 많이 못해서,2
** 씨는 자신 있으신가요?,2
처음에는 자신 있었는데 계속 실력이 줄어들어서 자신이 없어지네요.,1
아직 한 달 넘게 남아서 충분히 잘하실 수 있을 거예요,2
기억에 남는 선생님 있나요?,2
기억에 남는 선생님은 *** 선생님이 기억에 남네요.,1
기억에 남는 선생님 있으세요?,1
저도 그 선생님이 기억에 남네요,2
참 멋있는 선생님이죠,2
그리고 중학교 때 선생님이 기억에 남아요,2
많이 맞았거든요,2
혹시 선생님한테 맞은 기억이 있나요?,2
중학교 때 사립이었는데 정말 수도 없이 맞은 거 같아요.,1
그때는 정말 체벌이 당연하다고 생각했었는데..,1
요즘에는 학생들이 왕이죠,2
자격증 공부는 하루에 몇 시간 씩 하나요?,2
하루에 보통 4-5시간 정도 하는 거 같아요.,1
시험 공부 노하우 같은 게 있나요?,1
노하우는 그냥 계속 많이 하는 게 답인 거 같아요,2
저도 공부해야 하는데...,2
하루에 보통 몇 시간 정도 하세요?,1
저는 할 때는 하루 5시간 정도 한 거 같은데 요즘에는 아직 시작도 못했어요.,2
가족 관계가 어떻게 되세요?,1
아버지 어머니 여동생 남동생 저까지 5명입니다,2
가족 관계가 어떻게 되세요?,2
저는 아버지 어머니 형 이렇게 있습니다!,1
혼자 서울에 올라와 있으신 건가요?,1
네 혼자 서울에 있고 다른 가족들은 부산에서 살고 있습니다,2
형이랑은 몇 살 차이 나세요?,2
2살 차이 나는데 형은 결혼까지 해서 조카가 벌써 2명입니다.,1
나중에 자녀 계획이 어떻게 되세요?,1
저는 딸 하나 낳고 싶습니다,2
자녀 계획이 있으신가요?,2
저는 딸 하나 아들 하나 낳고 싶습니다.,1
근데 세상이 워낙 흉흉해서 무섭네요.,1
친구들 애 키우고 있는 모습 보면 부럽기도 하고 빨리 저도 키우고 싶네요,2
결혼 생각은 있으신가요?,2
결혼을 빨리 하고 싶었는데 최근에 좀 생각이 바뀌었어요.,1
결혼 계획이 있으세요?,1
저도 결혼 빨리 하고 싶은데 아직 준비가 안 됐네요,2
애 키우시면 많이 도와주실 건가요?,2
당연하죠,1
저는 정말 좋은 아빠가 될 자신이 있습니다.,1
자식에게 어떤 아버지가 되고 싶으세요?,1
저도 제가 키우고 싶어요,2
시간만 된다면 친구 같은 아버지가 되고 싶습니다.,2
저랑 같네요!,1
캠핑 좋아하시니 같이 캠핑도 가면 좋을 거 같아요.,1
네 같이 가서 좋은 추억 많이 만들고 재밌게 보내고 싶어요,2
조카들은 많이 컸나요?,2
첫째는 이번에 초등학교 2학년이고 둘째는 4살 정도 됐습니다.,1
와 일찍 결혼하셨나봐요,2
부럽습니다!,2
연애 하신 지 얼마나 되셨나요?,1
저는 지금 997일 됐습니다.,2
연애 하신 지 얼마나 되셨나요?,2
저는 680일 정도 된 거 같아요.,1
데이트할 때 보통 어떤 거 하시나요?,1
저희는 요즘 자전거 타고 맛있는 거 먹고 그런 거 같아요,2
** 씨는 어떤 거 많이 하시나요?,2
요즘 코로나도 위험하고 날씨도 덥고 해서 그냥 맛집 찾아가고 카페 가고 하는 거 같아요.,1
여자친구 만나러 갈 때 거리는 어느 정도 되나요?,1
거리는 좀 되는데 고속도로를 이용해서 가서 20분에서  30분 정도 걸리는 거 같아요.,1
여자친구분과 거리가 어떻게 되세요?,1
저는 차 타고 가면 15분 20분 정도 걸리는 거 같아요,2
매일 보시나요?,2
아니요, 저희는 토요일에만 보고 있습니다.,1
기념일은 매번 챙기시는 편인가요?,1
네 거의 챙기는 거 같아요,2
기념일에 기억에 남는 선물 있으신가요?,2
저희는 생일만 챙겨서 작년 생일 때 받았던 선물이 기억에 남네요.,1
기억에 남는 선물이 있으세요?,1
네 저는 100일 때 사진이랑 편지랑 꾸며서 받은 선물이 기억에 남네요,2
여자친구한테 받고 싶은 선물 있으세요?,2
가능하다면 아파트 한 채를 선물 받고 싶네요.,1
보통 데이트 코스는 어떻게 정하세요?,1
보통 티비나 SNS를 보다가 괜찮은 곳 있으면 가는 거 같아요,2
괜찮은 코스 있나요?,2
요즘은 아무래도 코로나 때문에 어디 가기가 좀 그런 거 같아요.,1
팔당댐 쪽 가시면 분위기 좋은 카페들 많이 있으니 기회 되시면 한번 가보세요!,1
네 감사합니다,2
한 번 가볼게요,2
여자친구랑 행복하세요 항상 하하,2
반려동물 키우시나요?,1
아니요,2
반려동물 키우세요?,2
네, 저는 고양이랑 강아지를 키우고 있습니다.,1
반려동물 키워보신 적 있으세요?,1
아니요 저는 한 번도 반려동물을 키워본 적이 없어요,2
둘 중에 누구를 더 좋아하나요?,2
서로 매력이 달라서 딱히 누구라고 하기 어렵네요.,1
아무래도 편한 건 고양이가 더 편한 거 같아요.,1
아 저도 강아지나 고양이를 키우고 싶은데 혹시 어떤 동물이 괜찮을까요?,2
음 편하신 걸 추구하시면 고양이가 좋습니다.,1
고양이는 똥 오줌 잘 가리나요?,2
고양이는 따로 가르치지 않아도 알아서 가려요!,1
요즘 길을 가다 보면 입마개를 안 한 대형견들이 종종 있는데 어떻게 생각하시나요?,1
대형견들이 불쌍하다고 생각하지만 그래도 안 하고 가는 걸 보면 신고하고 싶어요,2
